Miles,Stock,Year,Sub_Model,Price
98000,Used,2014,Luxury,28900
133167,Used,2014,Luxury,24744
106325,Used,2014,Base,27995
96889,Used,2014,Base,29995
81806,Used,2014,Base,25045
156390,Used,2014,Base,20999
156881,Used,2014,Base,20999
163847,Used,2014,Base,19999
159305,Used,2014,Base,22350
175163,Used,2014,Base,18169
120483,Used,2014,Base,24955
72571,Used,2014,Luxury,26995
103873,Used,2014,Base,21991
170995,Used,2014,Luxury,21585
89309,Used,2014,Base,29495
74497,Used,2014,Base,31294
85109,Used,2014,Base,23999
126561,Used,2014,Base,23483
149811,Used,2014,Base,20495
107971,Used,2014,Base,23978
137141,Used,2014,Luxury,23944
155698,Used,2014,Base,23998
88928,Used,2014,Base,26588
88314,Used,2014,Base,24495
171350,Used,2014,Base,19995
153858,Used,2014,Base,26999
101161,Used,2014,Base,23495
106988,Used,2014,Base,24988
132421,Used,2014,Base,20999
164363,Used,2014,Base,21064
135219,Used,2014,Base,22988
112359,Used,2014,Base,24882
164096,Used,2014,Luxury,20999
72498,Used,2014,Base,24995
116662,Used,2014,Base,25000
118146,Used,2014,Base,21995
92701,Used,2014,Premium,26895
112520,Used,2014,Base,25788
155141,Used,2014,Base,21588
134308,Used,2014,Luxury,23895
97592,Used,2014,Base,21899
140243,Used,2014,Base,22999
105824,Used,2014,Luxury,26995
175802,Used,2014,Base,18000
106981,Used,2014,Base,27599
57669,Used,2014,Base,28888
117079,Used,2014,Luxury,25818
112595,Used,2014,Base,23999
129477,Used,2014,Base,21995
116182,Used,2014,Base,24753
77160,Used,2014,Base,25699
176070,Used,2014,Base,18944
69455,Used,2014,Luxury,27096
138769,Used,2014,Base,20995
75768,Used,2014,Base,26499
69396,Used,2014,Base,26000
154464,Used,2014,Base,22495
98534,Used,2014,Base,22995
116480,Used,2014,Base,23987
115733,Used,2014,Base,23850
72750,Used,2014,Base,25890
77527,Used,2014,Base,25499
56248,Used,2014,Base,29999
129817,Used,2014,Luxury,23995
68816,Used,2014,Base,26903
125035,Used,2015,Base,19988
134788,Used,2015,Base,23500
93334,Used,2015,Base,24500
176052,Used,2015,Base,20488
105336,Used,2015,Base,24990
93076,Used,2015,Base,26891
138473,Used,2015,Base,19990
151694,Used,2015,Base,24995
135383,Used,2015,Luxury,22990
86249,Used,2015,Base,24998
138469,Used,2015,Base,24995
94170,Used,2015,Base,27950
101007,Used,2015,Base,20900
149443,Used,2015,Luxury,20974
104340,Used,2015,Base,27000
101103,Used,2015,Luxury,27718
86586,Used,2015,Base,25488
91805,Used,2015,Base,24998
118303,Used,2015,Base,24500
99870,Used,2015,Base,24995
109491,Used,2015,Base,22995
92453,Used,2015,Base,25989
68209,Used,2015,Base,32240
139507,Used,2015,Base,29995
122637,Used,2015,Base,22782
104988,Used,2015,Base,29888
191905,Used,2015,Luxury,20650
86917,Used,2015,Base,27281
91000,Used,2015,Base,28200
62391,Used,2015,Base,29995
85754,Used,2015,Luxury,28995
139557,Used,2015,Base,23498
84148,Used,2015,Luxury,29756
144008,Used,2015,Luxury,21999
80166,Used,2015,Base,24664
141756,Used,2015,Base,21700
73500,Used,2015,Luxury,30274
128583,Used,2015,Base,21174
94541,Used,2015,Luxury,29334
120000,Used,2015,Base,22995
111336,Used,2015,Luxury,26998
90850,Used,2015,Base,29991
123342,Used,2015,Base,22990
138118,Used,2015,Base,25990
90871,Used,2015,Base,24995
67500,Used,2015,Base,28200
136138,Used,2015,Luxury,22999
113020,Used,2015,Luxury,25990
62779,Used,2015,Luxury,33990
128242,Used,2015,Luxury,23999
165198,Used,2015,Base,19777
165282,Used,2015,Base,18500
95696,Used,2015,Luxury,25570
117697,Used,2015,Base,22948
171747,Used,2015,Base,23777
131400,Used,2015,Base,21988
77985,Used,2015,Luxury,28599
106099,Used,2015,Base,22903
79762,Used,2015,Base,25998
92185,Used,2015,Base,26418
115000,Used,2015,Base,21995
101153,Used,2015,Base,24995
110362,Used,2015,Luxury,23507
141000,Used,2015,Base,23499
132628,Used,2015,Base,18995
135390,Used,2015,Base,25900
97908,Used,2015,Base,24500
165000,Used,2015,Base,19999
94869,Used,2016,Base,27497
86562,Used,2016,Base,26700
56263,Used,2016,Base,26700
95198,Used,2016,Base,25994
80782,Used,2016,Luxury,29998
151503,Used,2016,Base,23295
45840,Used,2016,Base,32595
83921,Used,2016,Luxury,28998
98668,Used,2016,Base,27008
75304,Used,2016,Base,28965
168551,Used,2016,Base,22995
58957,Used,2016,Base,29999
82595,Used,2016,Luxury,27562
171947,Used,2016,Base,23397
106649,Used,2016,Base,22412
105560,Used,2016,Base,26290
67564,Used,2016,Luxury,31841
73094,Used,2016,Base,22500
80029,Used,2016,Base,25250
94073,Used,2016,Base,24995
65800,Used,2016,Base,28400
104023,Used,2016,Base,26745
79037,Used,2016,Base,30000
87965,Used,2016,Base,25555
51469,Used,2016,Base,30140
79360,Used,2016,Base,25995
100019,Used,2016,Base,25995
86162,Used,2016,Luxury,28490
118424,Used,2016,Luxury,25555
152761,Used,2016,Base,19997
100331,Used,2016,Base,25990
106459,Used,2016,Base,23995
74827,Used,2016,Base,27568
78783,Used,2016,Base,27999
87448,Used,2016,Base,28829
70193,Used,2016,Base,29995
81559,Used,2016,Base,29998
79650,Used,2016,Luxury,24991
113464,Used,2016,Base,25900
128288,Used,2016,Base,24285
83113,Used,2016,Base,29950
89804,Used,2016,Base,22979
111817,Used,2016,Base,21490
94076,Used,2016,Base,28250
135875,Used,2016,Base,24627
84411,Used,2016,Luxury,30495
86809,Used,2016,Luxury,27000
73381,Used,2016,Base,27998
56463,Used,2016,Base,31559
74944,Used,2016,Base,25499
57259,Used,2016,Luxury,29991
115521,Used,2016,Base,24888
140551,Used,2016,Base,22885
135720,Used,2016,Base,20495
42000,Used,2016,Base,33777
54048,Used,2016,Base,21999
65631,Used,2017,Base,32590
105310,Used,2017,Base,24000
81088,Used,2017,Base,28982
145832,Used,2017,Luxury,24699
118127,Used,2017,Luxury,35995
60042,Used,2017,Base,37781
89957,Used,2017,Luxury,30987
85033,Used,2017,Base,29663
133190,Used,2017,Base,24400
91031,Used,2017,Luxury,30000
85278,Used,2017,Base,28995
91510,Used,2017,Base,29995
133990,Used,2017,Base,23668
81549,Used,2017,Base,28393
84108,Used,2017,Base,29995
60402,Used,2017,Base,31995
95442,Used,2017,Base,24995
105690,Used,2017,Luxury,27994
82370,Used,2017,Base,25499
97067,Used,2017,Base,26879
97898,Used,2017,Base,26990
98226,Used,2017,Base,29980
80873,Used,2017,Base,30277
52054,Used,2017,Base,31000
90168,Used,2017,Base,29998
64438,Used,2017,Base,31884
59582,Used,2017,Base,31500
76062,Used,2017,Base,32901
107687,Used,2017,Base,27998
62983,Used,2017,Base,33990
84248,Used,2017,Base,28000
70041,Used,2017,Base,30993
89177,Used,2017,Base,29999
78749,Used,2017,Base,29978
85539,Used,2017,Base,26999
79648,Used,2017,Base,28549
95801,Used,2017,Base,24372
73959,Used,2017,Base,34999
115837,Used,2017,Luxury,27995
191119,Used,2017,Base,22495
57958,Used,2017,Luxury,34991
131522,Used,2017,Base,25995
100506,Used,2017,Base,26998
107300,Used,2017,Luxury,26317
88676,Used,2017,Base,24899
62133,Used,2017,Base,31998
73702,Used,2017,Base,29590
94745,Used,2017,Base,26999
91880,Used,2017,Base,28691
96256,Used,2017,Base,30900
81745,Used,2017,Base,28599
54439,Used,2017,Base,30500
67635,Used,2017,Base,27998
66937,Used,2017,Base,32950
65731,Used,2017,Base,29799
61876,Used,2017,Base,33998
100971,Used,2017,Base,28800
126808,Used,2017,Base,29896
143991,Used,2017,Base,23499
81253,Used,2017,Base,30590
93297,Used,2017,Base,29998
85537,Used,2017,Base,28998
52157,Used,2017,Base,29500
98056,Used,2017,Base,28898
78377,Used,2017,Base,30988
103223,Used,2017,Base,24598
85867,Used,2017,Base,27495
88036,Used,2017,Base,30995
60074,Used,2017,Base,29998
72986,Used,2017,Base,29575
96347,Used,2017,Base,28995
109819,Used,2017,Luxury,29851
76080,Used,2017,Base,31998
90433,Used,2017,Base,27500
68991,Used,2017,Base,31995
114452,Used,2017,Base,22744
48927,Used,2017,Base,27995
47083,Used,2017,Base,32800
70717,Used,2017,Base,33874
70653,Used,2017,Base,22997
68073,Used,2017,Base,29800
79787,Used,2017,Base,31998
44568,Used,2017,Base,32350
60400,Used,2017,Base,24499
94692,Used,2017,Luxury,27999
104418,Used,2017,Base,26987
68440,Used,2018,Luxury,36000
80311,Used,2018,Base,29500
90816,Used,2018,Base,30990
42711,Used,2018,Base,33895
108760,Used,2018,Base,27555
51034,Used,2018,Luxury,36991
37118,Used,2018,Base,37995
28529,Used,2018,Base,39989
85401,Used,2018,Base,30595
52830,Used,2018,Base,36995
19302,Used,2018,Base,43995
41042,Used,2018,Base,32446
90811,Used,2018,Base,29988
78891,Used,2018,Luxury,32820
119030,Used,2018,Base,24297
107622,Used,2018,Base,27331
114195,Used,2018,Base,28197
43180,Used,2018,Luxury,36990
75714,Used,2018,Base,29988
61171,Used,2018,Base,31990
63773,Used,2018,Luxury,39998
74959,Used,2018,Base,31988
113702,Used,2018,Luxury,26999
88110,Used,2018,Premium,29905
95667,Used,2018,Luxury,30684
85873,Used,2018,Luxury,36000
85474,Used,2018,Base,31671
44205,Used,2018,Luxury,38880
73021,Used,2018,Base,31499
58593,Used,2018,Base,33943
68328,Used,2018,Premium,33995
44764,Used,2018,Base,34089
50286,Used,2018,Base,30900
88419,Used,2018,Base,30990
41630,Used,2018,Base,34306
88104,Used,2018,Base,30700
96753,Used,2018,Base,28955
81479,Used,2018,Base,30950
61734,Used,2018,Base,35000
42148,Used,2018,Luxury,38700
47700,Used,2018,Premium,30795
72555,Used,2018,Luxury,34000
47801,Used,2018,Base,40988
62510,Used,2018,Base,33994
89939,Used,2018,Base,27785
61455,Used,2018,Base,31920
79138,Used,2018,Base,33493
100961,Used,2018,Base,28527
91583,Used,2018,Luxury,34988
70062,Used,2018,Base,32288
79616,Used,2018,Base,30490
65960,Used,2018,Base,33998
70499,Used,2018,Base,34500
94999,Used,2018,Base,32997
125652,Used,2018,Base,25995
58626,Used,2018,Premium,30700
116096,Used,2018,Base,27988
66436,Used,2018,Base,33998
106680,Used,2018,Luxury,31991
107039,Used,2018,Base,26897
77976,Used,2018,Base,30995
75376,Used,2018,Luxury,34998
74553,Used,2018,Base,33999
53166,Used,2018,Base,35471
96531,Used,2018,Base,26516
65661,Used,2018,Base,34986
93274,Used,2018,Base,30798
77723,Used,2018,Premium,29900
55898,Used,2018,Base,29900
58822,Used,2018,Base,32900
111071,Used,2018,Premium,28999
76681,Used,2018,Base,30885
56417,Used,2018,Base,33738
62537,Used,2018,Base,34998
56718,Used,2018,Base,36595
76359,Used,2018,Luxury,33899
56412,Used,2018,Base,32995
56450,Used,2018,Base,31500
47660,Used,2018,Base,33055
94549,Used,2018,Base,30287
83531,Used,2018,Luxury,38775
51359,Used,2018,Base,32995
78119,Used,2018,Luxury,34499
59154,Used,2018,Base,35680
77861,Used,2018,Base,32995
57957,Used,2018,Base,31549
38500,Used,2018,Premium,32995
56187,Used,2018,Base,34988
53640,Used,2018,Base,32950
95249,Used,2018,Base,30975
46997,Used,2018,Luxury,39881
63990,Used,2018,Base,32526
51578,Used,2018,Base,32900
86033,Used,2018,Luxury,32999
85770,Used,2018,Luxury,33850
73655,Used,2018,Base,31899
77298,Used,2018,Base,31888
62105,Used,2019,Base,35995
93770,Used,2019,Base,33794
58900,Used,2019,Base,33966
59132,Used,2019,Base,43800
39699,Used,2019,Base,39500
55468,Used,2019,Luxury,39640
30000,Used,2019,Premium,43995
86913,Used,2019,Base,33900
107647,Used,2019,Base,29400
51562,Used,2019,Base,36497
59550,Used,2019,Base,32820
90163,Used,2019,Premium,30080
41137,Used,2019,Luxury,40977
61113,Used,2019,Luxury,39991
95713,Used,2019,Base,27999
51618,Used,2019,Luxury,40677
80779,Used,2019,Base,34995
48789,Used,2019,Luxury,43999
53661,Used,2019,Base,32458
53195,Used,2019,Base,37341
34778,Used,2019,Base,39000
48044,Used,2019,Base,37898
104516,Used,2019,Base,27990
55076,Used,2019,Luxury,37985
46472,Used,2019,Base,35499
54734,Used,2019,Base,34886
55029,Used,2019,Premium,34995
59755,Used,2019,Base,34695
62156,Used,2019,Base,36200
33042,Used,2019,Premium,38488
50260,Used,2019,Luxury,42888
48847,Used,2019,Base,37000
34782,Used,2019,Base,37153
42442,Used,2019,Base,37299
47011,Used,2019,Base,38429
13422,Used,2019,Base,41998
27636,Used,2019,Base,38998
29050,Used,2019,Base,36620
38587,Used,2019,Premium,40000
64369,Used,2019,Base,35888
36683,Used,2019,Base,37651
92797,Used,2019,Base,29373
45187,Used,2019,Luxury,40678
62827,Used,2019,Premium,36700
82211,Used,2019,Base,32595
79675,Used,2019,Base,31748
39854,Used,2019,Base,38729
44418,Used,2019,Base,33999
37982,Used,2019,Base,35000
67896,Used,2019,Premium,34943
125384,Used,2019,Base,30880
46322,Used,2019,Base,33999
48800,Used,2019,Luxury,39950
76037,Used,2019,Luxury,36312
50370,Used,2019,Premium,35000
52728,Used,2019,Premium,35995
60130,Used,2019,Premium,35239
41806,Used,2019,Base,36929
55277,Used,2019,Luxury,41771
59555,Used,2019,Premium,33589
89330,Used,2019,Base,36388
78975,Used,2019,Base,30995
81135,Used,2019,Base,32299
84899,Used,2019,Luxury,36997
56670,Used,2019,Base,33100
27452,Used,2019,Base,40988
53664,Used,2019,Premium,36490
65779,Used,2019,Base,33497
62155,Used,2019,Base,34880
31723,Used,2019,Luxury,47595
82432,Used,2019,Base,30977
77444,Used,2019,Base,37662
59887,Used,2019,Base,33888
30945,Used,2019,Base,39998
72833,Used,2019,Luxury,37826
54638,Used,2019,Premium,32000
85379,Used,2019,Premium,29780
105626,Used,2019,Base,28786
54396,Used,2019,Base,34999
52866,Used,2019,Base,34589
36976,Used,2019,Base,38944
50734,Used,2019,Base,35300
42532,Used,2019,Premium,37990
24088,Used,2019,Base,41995
63505,Used,2019,Base,34287
64252,Used,2019,Base,34400
80562,Used,2019,Premium,27499
65204,Used,2019,Luxury,39658
34346,Used,2019,Luxury,39299
57814,Used,2019,Base,36402
26267,Used,2019,Base,39905
73206,Used,2019,Base,31490
52090,Used,2019,Luxury,38600
112738,Used,2019,Premium,28980
30230,Used,2019,Base,37888
44419,Used,2019,Base,37999
51726,Used,2019,Premium,38495
69000,Used,2019,Luxury,38000
97108,Used,2019,Base,31499
42938,Used,2019,Base,32899
82300,Used,2019,Luxury,36553
44197,Used,2019,Base,37499
78783,Used,2019,Luxury,36000
35364,Used,2019,Premium,38990
31191,Certified,2019,Luxury,49999
18606,Used,2019,Premium,42998
59643,Used,2019,Base,36998
58862,Used,2019,Base,34743
45058,Used,2019,Base,34800
51619,Used,2019,Base,37985
66965,Used,2019,Base,36821
44892,Used,2019,Base,39990
80302,Used,2019,Base,32998
59675,Used,2019,Base,37225
28932,Used,2019,Base,37092
131835,Used,2019,Base,30000
87103,Used,2019,Base,32490
33560,Used,2019,Base,38903
33431,Used,2019,Base,37021
55305,Used,2019,Premium,31449
51546,Used,2019,Base,34500
64476,Used,2019,Base,34230
67756,Used,2019,Base,31000
62253,Used,2019,Base,32990
62386,Used,2019,Luxury,36958
38130,Used,2019,Base,41995
22916,Used,2019,Base,40995
72301,Used,2019,Base,35598
95367,Used,2019,Base,32947
64365,Used,2019,Luxury,38500
67793,Used,2019,Luxury,39998
88630,Used,2019,Base,32072
69339,Used,2019,Luxury,34998
73056,Used,2019,Base,31800
77751,Used,2019,Base,36995
82279,Used,2019,Base,35306
30118,Used,2019,Base,37998
40193,Used,2019,Luxury,44998
74588,Used,2019,Premium,41330
46277,Used,2019,Base,41499
40582,Used,2019,Base,40098
61898,Used,2019,Premium,33552
34527,Used,2019,Premium,44980
42114,Used,2019,Base,40699
89365,Used,2019,Premium,33844
72288,Used,2019,Base,33995
50030,Used,2019,Luxury,35995
40,Used,2019,Base,36988
67697,Used,2020,Luxury,42000
63065,Used,2020,Luxury,48950
27493,Used,2020,Premium,44989
48102,Used,2020,Base,43210
26766,Used,2020,Luxury,43000
68021,Used,2020,Premium,37732
34637,Used,2020,Luxury,44900
59978,Used,2020,Base,39395
59442,Used,2020,Base,39498
77515,Used,2020,Base,37362
114349,Used,2020,Premium,36928
43269,Used,2020,Premium,39988
41026,Used,2020,Luxury,46500
23486,Used,2020,Base,40453
41000,Used,2020,Premium,37997
82748,Used,2020,Premium,35790
27270,Used,2020,Base,44650
46549,Used,2020,Luxury,44950
28339,Used,2020,Base,43998
39753,Used,2020,Base,41950
21680,Used,2020,Base,42999
29913,Used,2020,Base,44998
28739,Used,2020,Base,44000
48256,Used,2020,Base,39000
45326,Used,2020,Luxury,46032
37521,Used,2020,Luxury,44733
61552,Used,2020,Base,39400
86490,Used,2020,Luxury,40995
65679,Used,2020,Premium,38999
58732,Used,2020,Base,41700
46923,Used,2020,Base,39987
41251,Used,2020,Premium,38941
36976,Used,2020,Base,39500
32882,Used,2020,Premium,40749
29732,Used,2020,Base,41998
28458,Used,2020,Luxury,49998
60447,Used,2020,Premium,38632
39203,Used,2020,Base,43810
37219,Used,2020,Premium,69999
41327,Used,2020,Base,40000
29049,Used,2020,Premium,43974
39514,Used,2020,Luxury,43756
76894,Used,2020,Base,39995
42019,Used,2020,Base,39998
88772,Used,2020,Base,35496
90689,Used,2020,Base,36757
39317,Used,2020,Base,43420
56445,Used,2020,Base,41900
28001,Used,2020,Premium,44541
44401,Used,2020,Base,43455
20395,Used,2020,Base,45631
32576,Used,2020,Premium,44548
31607,Used,2020,Premium,41490
45584,Used,2020,Luxury,45989
107057,Used,2020,Base,34900
42001,Used,2020,Base,41990
56867,Used,2020,Base,37928
33202,Used,2020,Base,40800
36141,Used,2020,Premium,44885
41002,Used,2020,Base,41998
38554,Used,2020,Luxury,42880
71935,Used,2020,Premium,38299
51397,Used,2020,Premium,36000
64355,Used,2020,Base,39385
73715,Used,2020,Base,37674
63129,Used,2020,Base,41977
57197,Used,2020,Premium,39925
69661,Used,2020,Base,36892
53050,Used,2020,Base,39987
42830,Used,2020,Base,43999
27376,Used,2020,Premium,38752
26475,Used,2020,Base,42999
36917,Used,2020,Base,37991
38870,Used,2020,Base,44888
33342,Used,2020,Luxury,43750
23606,Used,2020,Base,38242
60910,Used,2020,Base,37997
39431,Used,2020,Base,38991
44756,Used,2020,Premium,40995
33317,Used,2020,Base,46662
60825,Used,2020,Luxury,41319
21426,Used,2020,Base,46998
59040,Used,2020,Premium,38998
27518,Used,2020,Base,44989
57767,Used,2020,Luxury,44908
44330,Used,2020,Premium,39995
17334,Used,2020,Base,44998
44039,Used,2020,Base,42988
44764,Used,2020,Base,41998
28948,Used,2020,Base,39499
17941,Used,2020,Base,45998
22300,Used,2020,Base,41773
37033,Used,2020,Base,41998
44498,Used,2020,Base,40880
45022,Used,2020,Luxury,41491
51117,Used,2020,Base,37999
45591,Used,2020,Premium,44998
36005,Used,2020,Base,38880
12957,Used,2020,Base,46000
21736,Used,2020,Base,44998
23972,Used,2020,Premium,45960
41813,Used,2020,Premium,40977
34034,Used,2020,Premium,40999
42772,Used,2020,Base,41165
58744,Used,2020,Base,39995
61228,Used,2020,Base,39998
62361,Used,2020,Base,40218
53695,Used,2020,Premium,38900
47179,Used,2020,Base,39997
28946,Used,2020,Base,43998
24645,Used,2020,Base,43998
42610,Used,2020,Luxury,41520
38764,Used,2020,Premium,43234
27887,Used,2020,Base,45400
26872,Used,2020,Base,43998
101418,Used,2020,Base,35400
28395,Used,2020,Base,41998
38261,Used,2020,Premium,42980
36507,Used,2020,Premium,33795
37612,Used,2020,Base,44975
42757,Used,2021,Base,40998
25970,Used,2021,Premium,43999
43727,Used,2021,Base,45300
46440,Used,2021,Premium,45000
52335,Used,2021,Luxury,48502
9990,Used,2021,Base,44998
33428,Used,2021,Base,48996
18906,Used,2021,Base,48550
47071,Used,2021,Premium,48950
69250,Used,2021,Base,39997
31290,Used,2021,Premium,46900
45584,Used,2021,Base,44995
17938,Used,2021,Base,46395
34633,Used,2021,Base,44490
24044,Used,2021,Base,48985
16121,Used,2021,Base,50998
53293,Used,2021,Premium,41987
9395,Used,2021,Base,47550
26989,Used,2021,Premium,47501
36650,Used,2021,Base,43995
36101,Used,2021,Premium,44900
25489,Used,2021,Premium,44866
17204,Used,2021,Base,47799
33420,Used,2021,Base,42998
51920,Used,2021,Premium,39987
45429,Used,2021,Premium,46864
74293,Used,2021,Luxury,42787
19870,Used,2021,Base,47495
32471,Used,2021,Premium,44988
47786,Used,2021,Premium,45999
36393,Used,2021,Base,43894
50573,Used,2021,Luxury,46995
47722,Used,2021,Premium,44487
46952,Used,2021,Base,38996
41113,Used,2021,Base,42700
37105,Used,2021,Base,43981
24429,Used,2021,Premium,46324
34751,Used,2021,Premium,44626
27190,Used,2021,Base,43649
42226,Used,2021,Premium,43689
52850,Used,2021,Base,39990
63793,Used,2021,Premium,40794
31378,Used,2021,Premium,42995
15729,Used,2021,Base,48798
51333,Used,2021,Base,42490
78400,Used,2021,Luxury,43859
60924,Used,2021,Luxury,44361
70982,Used,2021,Luxury,44459
10407,Used,2021,Luxury,48000
48721,Used,2021,Base,44011
23481,Used,2021,Base,48360
55313,Used,2021,Base,41920
41435,Used,2021,Base,41680
64332,Used,2021,Base,39444
24420,Used,2021,Luxury,49999
47646,Used,2021,Base,47000
35751,Used,2021,Base,42990
44875,Used,2021,Base,42990
38151,Used,2021,Base,45990
47120,Used,2021,Base,41000
46689,Used,2021,Base,46996
37225,Used,2021,Base,49990
42283,Used,2021,Base,44998
59518,Used,2021,Premium,42989
43071,Used,2021,Base,45344
33206,Used,2021,Base,48999
61723,Used,2021,Luxury,46181
48734,Used,2021,Base,46500
38599,Used,2021,Base,43995
41500,Used,2021,Premium,44998
45985,Used,2021,Base,42000
40633,Used,2021,Base,41995
17009,Used,2021,Base,44988
28024,Used,2021,Premium,45981
17326,Used,2021,Base,49981
24862,Used,2021,Premium,43987
54214,Used,2021,Base,41492
60612,Used,2021,Luxury,44499
34490,Used,2021,Base,45955
33736,Used,2021,Base,43998
32868,Used,2021,Base,45250
29230,Used,2021,Premium,50000
36414,Used,2021,Base,44900
82882,Used,2021,Premium,38998
22928,Used,2021,Base,46988
32014,Used,2021,Base,46995
65485,Used,2021,Base,39992
20390,Used,2021,Base,46888
28736,Used,2021,Luxury,47800
66244,Used,2021,Base,39071
55925,Used,2021,Base,38914
55717,Used,2021,Premium,39299
24940,Used,2021,Base,45998
47892,Used,2021,Base,44000
36298,Used,2021,Premium,44000
35861,Used,2021,Luxury,48145
